canonical_smiles,molecule_chembl_id,pIC50,standard_value,n_measurements,pIC50_range,kept_chembl_id,dropped_chembl_ids
C#CCc1ccc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,"['CHEMBL5930957', 'CHEMBL5930957']","[8.795880017344075, 5.130650919240907]","[1.6, 7402.0]",2,3.6652290981031683,CHEMBL5930957,['CHEMBL5930957']
C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,"['CHEMBL4867851', 'CHEMBL4867851', 'CHEMBL4867851']","[9.221848749616356, 9.221848749616356, 7.818156412055227]","[0.6, 0.6, 15.2]",3,1.4036923375611288,CHEMBL4867851,"['CHEMBL4867851', 'CHEMBL4867851']"
C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,"['CHEMBL4858364', 'CHEMBL4858364', 'CHEMBL4858364']","[9.397940008672037, 9.397940008672037, 9.096910013008056]","[0.4, 0.4, 0.8]",3,0.30102999566398125,CHEMBL4858364,"['CHEMBL4858364', 'CHEMBL4858364']"
C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@]56CCCN5[C@@H](COC(=O)N(C)C)CC6)nc4c3F)c12,"['CHEMBL5977600', 'CHEMBL5977600']","[9.096910013008056, 8.075720713938118]","[0.8, 8.4]",2,1.0211892990699383,CHEMBL5977600,['CHEMBL5977600']
C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CCO6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,"['CHEMBL5273122', 'CHEMBL5273122']","[9.0, 9.0]","[1.0, 1.0]",2,0.0,CHEMBL5273122,['CHEMBL5273122']
C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,"['CHEMBL5081048', 'CHEMBL5081048']","[8.301029995663981, 8.823908740944319]","[5.0, 1.5]",2,0.5228787452803374,CHEMBL5081048,['CHEMBL5081048']
C#Cc1c(F)ccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,"['CHEMBL5187854', 'CHEMBL5187854']","[9.301029995663981, 7.617982957425132]","[0.5, 24.1]",2,1.6830470382388496,CHEMBL5187854,['CHEMBL5187854']
C#Cc1c(F)ccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,"['CHEMBL5881670', 'CHEMBL5881670']","[9.045757490560675, 7.009661145212398]","[0.9, 97.8]",2,2.0360963453482768,CHEMBL5881670,['CHEMBL5881670']
C#Cc1c(F)ccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@]56CCCN5[C@@H](COC(=O)N(C)C)CC6)nc4c3F)c12,"['CHEMBL5996049', 'CHEMBL5996049']","[9.397940008672037, 7.892790030352131]","[0.4, 12.8]",2,1.5051499783199063,CHEMBL5996049,['CHEMBL5996049']
C#Cc1cccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,"['CHEMBL4863339', 'CHEMBL4863339', 'CHEMBL4863339']","[9.522878745280337, 9.522878745280337, 8.148741651280925]","[0.3, 0.3, 7.1]",3,1.374137093999412,CHEMBL4863339,"['CHEMBL4863339', 'CHEMBL4863339']"
