molecule_chembl_id,smiles,matched_to_active,tanimoto_similarity
CHEMBL7120,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1cccc(/C(I)=C/Cn2oc(=O)[nH]c2=O)c1,CHEMBL4867851,0.107
CHEMBL9295,CCCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,CHEMBL4867851,0.119
CHEMBL267730,CCCCN(CCCC)c1c(N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c(=O)c1=O,CHEMBL4867851,0.071
CHEMBL9527,Cl.O=C(C1CCCN1)N1CCCC1P(=O)(Oc1ccc(NN2CCCC2)cc1)Oc1ccc(NN2CCCC2)cc1,CHEMBL4867851,0.113
CHEMBL10847,COc1ccc(C(=O)/C(Cc2ccc(OC)c(OC)c2OC)=C(\C(=O)[O-])c2cc(OC)c3c(c2)OCO3)cc1C.[Na+],CHEMBL4867851,0.072
CHEMBL11025,O=C1c2cccc3c2c(cc2occc23)C(=O)N1CCNCCCNCCN1C(=O)c2cccc3c2c(cc2occc23)C1=O,CHEMBL4867851,0.082
CHEMBL10862,COc1ccc(C(=O)/C(Cc2ccc(OC)c(OC)c2OC)=C(\C(=O)[O-])c2cc(OC)c3c(c2)OCO3)cc1.[Na+],CHEMBL4867851,0.064
CHEMBL416705,COc1ccc(-c2nc(SCCCOCCN(CCOCCO)C(=O)NC(C)C)[nH]c2-c2ccc(OC)cc2)cc1,CHEMBL4867851,0.113
CHEMBL11246,CC(C)C(NC(=O)Cn1c(-c2ccc(Cl)cc2)ncc(NC(=O)OCc2ccccc2)c1=O)C(=O)C(F)(F)F,CHEMBL4867851,0.118
CHEMBL273981,CC(C)C(NC(=O)Cn1c(-c2ccc(C(F)(F)F)cc2)ncc(NC(=O)OCc2ccccc2)c1=O)C(=O)C(F)(F)F,CHEMBL4867851,0.109
CHEMBL274675,COc1ccc(C(C)C(CSC(C)=O)C(=O)N[C@@H](Cc2ccc(OC(C)=O)cc2)C(=O)OCc2ccccc2)cc1,CHEMBL4867851,0.054
CHEMBL274554,CC(=O)Oc1ccc(C[C@H](NC(=O)C(CSC(C)=O)C(C)c2ccc(F)cc2)C(=O)OCc2ccccc2)cc1,CHEMBL4867851,0.07
CHEMBL275545,CCCc1nc(CC)c(C(=O)NC)n1Cc1ccc(-c2ccccc2S(=O)(=O)Nc2onc(C)c2C)c(COC)c1,CHEMBL4867851,0.094
CHEMBL12588,CCCc1nc(CC)c(C(N)=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)Nc2onc(C)c2C)c(COCCF)c1,CHEMBL4867851,0.099
CHEMBL12175,CCCc1nc(CC)c(C(N)=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)Nc2onc(C)c2C)c(COCC)c1,CHEMBL4867851,0.094
CHEMBL11840,CCCc1nc(CC)c(C(N)=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)Nc2onc(C)c2C)c(COC)c1,CHEMBL4867851,0.095
CHEMBL276892,CC(C)(C)NC(=O)[C@@H]1C[C@H](OCc2ccncc2)CCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)CCCc1ccccc1,CHEMBL4867851,0.096
CHEMBL267553,Cc1ccccc1COC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC[C@@H](OCc2ccncc2)C[C@H]1C(=O)NC(C)(C)C,CHEMBL4867851,0.095
CHEMBL13075,Cc1ccccc1CCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC[C@@H](OCc2ccncc2)C[C@H]1C(=O)NC(C)(C)C,CHEMBL4867851,0.094
CHEMBL275268,O=C([C@@H](NS(=O)(=O)c1cnccc1N[C@H](CO)Cc1ccccc1)c1ccc2ccccc2c1)N1CCC(CCF)CC1,CHEMBL4867851,0.132
CHEMBL267314,CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)[C@@H](Nc3nc4cc(F)ccc4[nH]3)C2SC1,CHEMBL4867851,0.119
CHEMBL273702,COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H](C/C=C/c3ccccc3)OC(=O)[C@H](CC(C)C)OC(=O)[C@H](C)CNC2=O)cc1,CHEMBL4867851,0.071
CHEMBL13372,CO[C@@]1(Nc2nc3ccccc3[nH]2)C(=O)N2C(C(=O)OC(c3ccccc3)c3ccccc3)=C(COC(C)=O)CSC21,CHEMBL4867851,0.104
CHEMBL13612,CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)[C@@H](Nc3nc4cscc4[nH]3)C2SC1,CHEMBL4867851,0.097
CHEMBL267072,COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H]([C@H](C)/C=C/c3ccccc3)OC(=O)[C@H](CC(C)C)OC(=O)[C@H](C)CNC2=O)cc1,CHEMBL4867851,0.071
CHEMBL275137,CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)[C@@H](Nc3nc4cc(C)ccc4[nH]3)C2SC1,CHEMBL4867851,0.104
CHEMBL268857,CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)[C@@H](Nc3nc4c(C)cccc4[nH]3)C2SC1,CHEMBL4867851,0.104
CHEMBL268942,CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)[C@@H](Nc3nc4ccccc4s3)C2SC1,CHEMBL4867851,0.092
CHEMBL13554,CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)[C@@H](Nc3nc4cc(CC#N)ccc4[nH]3)C2SC1,CHEMBL4867851,0.108
CHEMBL13610,COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H]([C@@H](C)/C=C/c3ccccc3)OC(=O)[C@H](CC(C)C)OC(=O)[C@H](C)CNC2=O)cc1,CHEMBL4867851,0.071
CHEMBL441345,CC(C)CNC(C)(C)CC(=O)N[C@@H]1CCc2ccccc2N(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)C1=O,CHEMBL4867851,0.087
CHEMBL15076,CCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O,CHEMBL4867851,0.059
CHEMBL16969,CC(=O)c1ccccc1NC(=O)COc1ccc(-c2nc3c(=O)n(Cc4ccccc4)c(=O)n(Cc4ccccc4)c3[nH]2)cc1,CHEMBL4867851,0.121
CHEMBL429953,CC(C)(C)OC(=O)N[C@@H](C(=O)C(N)Cc1ccc(OCc2ccccc2)cc1)/C(O)=C(\C#N)c1ccc([N+](=O)[O-])cc1,CHEMBL4867851,0.067
CHEMBL275149,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)N(Cc4ccccc4)Cc4ccccc4)cc3)[nH]c2n(CCC)c1=O,CHEMBL4867851,0.116
CHEMBL279110,C/C=C/C=C(\C)C(=O)O[C@H]1C(O)[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@H](C)[C@H]1OC,CHEMBL4867851,0.075
CHEMBL275196,CCCCCC(=O)O[C@H]1C(O)[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@H](C)[C@H]1OC,CHEMBL4867851,0.076
CHEMBL279171,CCC/C=C(\C)C(=O)O[C@H]1C(O)[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@H](C)[C@H]1OC,CHEMBL4867851,0.075
CHEMBL279314,CO[C@@H]1[C@@H](C)O[C@@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)C(O)[C@@H]1OC(=O)c1ccccc1,CHEMBL4867851,0.092
CHEMBL18631,Cc1ccccc1S(=O)(=O)NC(=O)NC(=O)CCCCn1nnc(-c2ccc(OCCCCc3ccccc3)cc2)n1,CHEMBL4867851,0.068
CHEMBL431100,CCCCCC(=O)O[C@@H]1[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@H](C)[C@@H](OC)[C@H]1O,CHEMBL4867851,0.083
CHEMBL279848,CCCCCCO[C@H]1[C@H](O)[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@H](C)[C@H]1OC,CHEMBL4867851,0.077
CHEMBL18640,CCCCC(C)C(=O)O[C@H]1C(O)[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@H](C)[C@H]1OC,CHEMBL4867851,0.083
CHEMBL19888,CCOC(=O)/C=C/[C@H](CCC(N)=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)SC1CCCC1)C(C)C)Cc1ccc(C)cc1,CHEMBL4867851,0.105
CHEMBL19334,CCOC(=O)/C=C/[C@H](CCC(N)=O)NC(=O)[C@@H](CC(=O)[C@H](CC(C)C)NC(=O)SC1CCCC1)Cc1ccc(C)cc1,CHEMBL4867851,0.088
CHEMBL279272,CCOC(=O)/C=C/[C@H](CCC(N)=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)SC1CCCC1)C(C)(C)C)Cc1ccccc1,CHEMBL4867851,0.088
CHEMBL19333,CCOC(=O)/C=C/[C@H](CCC(N)=O)NC(=O)[C@@H](CC(=O)[C@H](CC(C)C)NC(=O)SC1CCCC1)Cc1ccc(F)cc1,CHEMBL4867851,0.102
CHEMBL281565,CCOC(=O)/C=C/[C@H](CCC(N)=O)NC(=O)[C@@H](CC(=O)[C@H](CC(C)C)NC(=O)SC1CCCC1)Cc1ccccc1,CHEMBL4867851,0.088
CHEMBL279889,CCOC(=O)/C=C/[C@H](CCC(N)=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)SCc1ccccc1)C(C)C)Cc1ccccc1,CHEMBL4867851,0.068
CHEMBL19986,CCCCCC(=O)CCCCCCCCCCCOCC(COP(=O)([O-])OC[C@H](C(=O)O)[N+](C)(C)C)OC,CHEMBL4867851,0.042
CHEMBL409059,CC[C@H]1OC(=O)CC(O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CCN(C)CC)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1C,CHEMBL4858364,0.054
CHEMBL9248,CC[C@H]1OC(=O)CC(O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CCN2CCCC2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1C,CHEMBL4858364,0.074
