Ligand_name,Status,Is_active,Best_affinity_kcal_mol,Label,Formula,MW_Da,LogP,HBD,HBA,RotB,TPSA_A2,Runtime_s
CHEMBL4062018,FAILED: Bad Conformer Id,1,,,,,,,,,,
CHEMBL4063829,FAILED: Bad Conformer Id,1,,,,,,,,,,
CHEMBL4070657,FAILED: Bad Conformer Id,1,,,,,,,,,,
CHEMBL4082777,FAILED: Bad Conformer Id,1,,,,,,,,,,
CHEMBL4099289,FAILED: Bad Conformer Id,1,,,,,,,,,,
CHEMBL4083770,FAILED: Bad Conformer Id,1,,,,,,,,,,
CHEMBL4075048,FAILED: Bad Conformer Id,1,,,,,,,,,,
CHEMBL4089137,FAILED: Bad Conformer Id,1,,,,,,,,,,
CHEMBL4081818,FAILED: Bad Conformer Id,1,,,,,,,,,,
CHEMBL4091553,FAILED: Bad Conformer Id,1,,,,,,,,,,
CHEMBL4081270,FAILED: Bad Conformer Id,1,,,,,,,,,,
CHEMBL5841841,SUCCESS,1,-5.829,active,C27H29ClFN7+2,505.215,2.373,2.0,5.0,5.0,89.4,47.64
CHEMBL5826560,SUCCESS,1,-5.781,active,C28H31ClFN7+2,519.23,2.763,2.0,5.0,6.0,89.4,50.43
CHEMBL6029519,SUCCESS,1,-6.389,active,C30H39FN6O+2,518.316,2.241,2.0,5.0,7.0,72.19,70.97
CHEMBL5849129,SUCCESS,1,-6.061,active,C27H30ClFN6O+2,508.214,2.951,2.0,5.0,8.0,95.39,75.53
CHEMBL5803323,SUCCESS,1,-6.332,active,C29H38FN7O+2,519.311,1.854,2.0,6.0,8.0,85.08,76.43
CHEMBL6049217,SUCCESS,1,-5.822,active,C25H25FN5O+,430.204,3.167,2.0,5.0,5.0,78.75,28.72
CHEMBL5880902,SUCCESS,1,-6.286,active,C31H38F2N6O+2,548.306,2.333,2.0,5.0,6.0,72.19,82.15
CHEMBL5822200,SUCCESS,1,-5.643,active,C30H38F2N6O+2,536.306,2.598,2.0,5.0,8.0,72.19,82.71
CHEMBL5975644,SUCCESS,1,-5.437,active,C30H39FN6O+2,518.316,2.459,2.0,5.0,8.0,72.19,83.16
CHEMBL5749495,SUCCESS,1,-5.291,active,C30H39FN6O+2,518.316,2.288,2.0,5.0,8.0,72.19,85.76
CHEMBL6053648,SUCCESS,1,-6.06,active,C30H38F2N6O+2,536.306,2.407,2.0,5.0,8.0,72.19,87.51
CHEMBL5955588,SUCCESS,1,-6.376,active,C31H39FN6O+2,530.316,2.387,2.0,5.0,7.0,72.19,89.71
CHEMBL5849451,SUCCESS,1,-5.233,active,C31H41FN6O+2,532.331,2.849,2.0,5.0,9.0,72.19,93.42
