Ligand_name,Label,Is_active,Status,Converged,Formula,MW_Da,LogP,HBD,HBA,RotB,TPSA_A2,Best_affinity_kcal_mol,best_rmsd_lb,best_rmsd_ub,RF_Score_pKd,Runtime_s
CHEMBL101185,decoy,0,SUCCESS,True,C18H10Br2O10-2,543.865,1.08,0,10,7,135.64,-2.624,-3.391,-0.954,6.519,72.35
CHEMBL101369,decoy,0,SUCCESS,True,C27H42ClNO6S,543.242,4.678,3,8,12,116.95,3.801,4.579,-0.165,6.946,93.28
CHEMBL10090,decoy,0,SUCCESS,True,C22H18BrF3N4O3,522.051,5.958,0,5,8,67.79,-2.494,-3.223,-0.44,6.76,130.62
CHEMBL101368,decoy,0,SUCCESS,True,C23H19Cl2N3O4S,503.047,4.594,1,4,7,95.11,-5.527,-7.142,-1.306,7.706,152.25
CHEMBL100185,decoy,0,SUCCESS,True,C28H29N3O5S2,551.155,5.193,2,7,9,96.65,-1.549,-2.002,2.146,7.699,174.32
CHEMBL10019,decoy,0,SUCCESS,True,C27H24NO8-,490.151,3.483,0,8,12,100.44,-3.986,-5.851,-1.129,6.495,182.04
CHEMBL100734,decoy,0,SUCCESS,True,C28H29N5O5,515.217,4.802,1,8,10,98.28,10.195,14.367,0.68,7.045,186.26
CHEMBL100159,decoy,0,SUCCESS,True,C27H22N6O4S,526.142,3.573,2,6,6,118.33,-3.892,-4.802,-1.071,6.935,214.13
CHEMBL100456,decoy,0,SUCCESS,True,C24H24N3O4S2+,482.12,3.629,1,6,10,103.23,-5.619,-8.412,-0.959,7.213,224.26
CHEMBL100099,decoy,0,SUCCESS,True,C29H28N2O7,516.19,4.386,2,9,12,119.27,-3.501,-5.24,1.899,6.286,229.42
CHEMBL100372,decoy,0,SUCCESS,True,C28H28N4O4S,516.183,5.262,0,6,9,96.65,-1.549,-2.183,0.602,7.714,228.35
CHEMBL100738,decoy,0,SUCCESS,True,C33H28ClN5O3,577.188,4.889,1,5,4,99.26,-2.25,-2.777,-0.907,6.948,230.73
CHEMBL101156,decoy,0,SUCCESS,True,C24H27Cl2N6O2+,501.157,3.463,3,7,14,98.74,-5.211,-8.409,-0.797,8.0,243.14
CHEMBL101853,decoy,0,SUCCESS,True,C18H10Br2O10-2,543.865,1.08,0,10,7,135.64,-2.622,-3.388,-0.951,6.519,73.05
CHEMBL101760,decoy,0,SUCCESS,True,C28H23FN4O3S2,546.12,5.323,0,5,8,77.2,-5.158,-6.968,-0.805,7.548,247.17
CHEMBL100013,decoy,0,SUCCESS,True,C32H27N5O4S,577.178,4.337,3,6,7,148.48,-0.118,-0.156,1.046,7.467,257.43
